TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,SCD30_CO2,SCD30_TEMP,SCD30_HUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ppm,C,%,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,SCD30 CO2,SCD30 Temperature,SCD30 Humidity,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,158,160,161,89,87,88
2022-10-13T00:00:55Z,13.47,84.59,99,0,29.28,100.59,431.00,1783.00,869,16.66,70.81,null,null,null
2022-10-13T00:01:55Z,13.43,84.58,99,0,29.48,100.58,431.00,1783.00,870,16.68,70.72,null,null,null
2022-10-13T00:02:55Z,13.41,84.63,99,0,29.81,100.59,422.00,1775.00,868,16.68,70.76,3,8,11
2022-10-13T00:03:55Z,13.45,84.66,99,0,29.81,100.59,395.00,1754.00,867,16.66,70.78,null,null,null
2022-10-13T00:04:55Z,13.45,84.53,99,0,29.41,100.59,395.00,1754.00,865,16.65,70.77,null,null,null
2022-10-13T00:05:55Z,13.45,84.55,99,0,29.18,100.58,390.00,1749.00,861,16.65,70.77,null,null,null
2022-10-13T00:06:55Z,13.44,84.55,99,0,26.11,100.59,384.00,1743.00,865,16.66,70.70,null,null,null
2022-10-13T00:08:00Z,13.38,84.60,99,0,36.76,100.59,400.00,1757.00,862,16.65,70.71,5,10,11
2022-10-13T00:09:00Z,13.41,84.71,99,0,26.95,100.59,395.00,1754.00,862,16.66,70.69,null,null,null
2022-10-13T00:10:00Z,13.44,84.55,99,0,26.24,100.59,395.00,1754.00,860,16.63,70.70,null,null,null
2022-10-13T00:11:00Z,13.43,84.46,99,0,27.32,100.59,395.00,1754.00,855,16.65,70.71,null,null,null
2022-10-13T00:12:00Z,13.41,84.56,99,0,27.22,100.59,395.00,1754.00,851,16.66,70.66,null,null,null
2022-10-13T00:13:00Z,13.41,84.51,99,0,27.34,100.59,390.00,1749.00,852,16.65,70.72,3,8,11
2022-10-13T00:14:00Z,13.41,84.58,99,0,27.04,100.58,384.00,1743.00,852,16.65,70.66,null,null,null
2022-10-13T00:15:00Z,13.44,84.48,99,0,27.42,100.59,384.00,1743.00,849,16.63,70.67,null,null,null
2022-10-13T00:16:00Z,13.44,84.38,99,0,27.44,100.58,376.00,1739.00,846,16.63,70.66,null,null,null
2022-10-13T00:17:00Z,13.38,84.40,99,0,26.53,100.58,376.00,1739.00,843,16.63,70.63,null,null,null
2022-10-13T00:18:00Z,13.38,84.46,99,0,27.32,100.58,371.00,1734.00,845,16.63,70.63,4,8,10
2022-10-13T00:19:00Z,13.38,84.56,99,0,28.06,100.59,371.00,1734.00,841,16.62,70.62,null,null,null
2022-10-13T00:20:00Z,13.41,84.44,99,0,28.88,100.59,366.00,1729.00,838,16.62,70.61,null,null,null
2022-10-13T00:21:00Z,13.43,84.40,99,0,29.08,100.58,366.00,1729.00,837,16.62,70.59,null,null,null
2022-10-13T00:22:00Z,13.38,84.40,99,0,28.84,100.59,359.00,1721.00,835,16.60,70.64,null,null,null
2022-10-13T00:23:00Z,13.35,84.45,99,0,27.64,100.59,352.00,1714.00,832,16.60,70.59,3,7,8
2022-10-13T00:24:00Z,13.37,84.50,99,0,28.84,100.59,352.00,1714.00,828,16.62,70.59,null,null,null
2022-10-13T00:25:00Z,13.41,84.40,99,0,28.36,100.59,352.00,1714.00,829,16.63,70.57,null,null,null
2022-10-13T00:26:00Z,13.40,84.35,99,0,29.70,100.59,348.00,1709.00,826,16.59,70.53,null,null,null
2022-10-13T00:27:00Z,13.37,84.35,99,0,26.19,100.59,344.00,1704.00,826,16.62,70.50,null,null,null
2022-10-13T00:28:00Z,13.38,84.36,99,0,27.53,100.59,344.00,1704.00,824,16.60,70.51,1,9,11
2022-10-13T00:29:00Z,13.38,84.43,99,0,29.51,100.59,333.00,1695.00,825,16.58,70.50,null,null,null
2022-10-13T00:30:00Z,13.40,84.30,99,0,27.66,100.59,312.00,1673.00,822,16.59,70.51,null,null,null
2022-10-13T00:31:00Z,13.38,84.27,99,0,29.21,100.59,312.00,1673.00,818,16.62,70.49,null,null,null
2022-10-13T00:32:00Z,13.37,84.27,99,0,30.05,100.59,316.00,1677.00,817,16.60,70.49,null,null,null
2022-10-13T00:33:01Z,13.35,84.25,99,0,26.06,100.59,312.00,1673.00,814,16.59,70.49,5,9,12
2022-10-13T00:34:01Z,13.37,84.34,99,0,26.87,100.59,316.00,1677.00,813,16.58,70.44,null,null,null
2022-10-13T00:35:01Z,13.38,84.20,99,0,29.09,100.59,321.00,1682.00,812,16.58,70.41,null,null,null
2022-10-13T00:36:01Z,13.38,84.09,99,0,31.24,100.59,324.00,1686.00,813,16.56,70.43,null,null,null
2022-10-13T00:37:01Z,13.37,84.13,99,0,29.38,100.58,295.00,1656.00,810,16.59,70.40,null,null,null
2022-10-13T00:38:01Z,13.34,84.16,99,0,29.38,100.58,320.00,1681.00,810,16.59,70.36,5,7,7
2022-10-13T00:39:01Z,13.35,84.21,99,0,28.87,100.59,315.00,1677.00,809,16.58,70.40,null,null,null
2022-10-13T00:40:01Z,13.37,84.12,99,0,30.83,100.59,286.00,1645.00,808,16.58,70.39,null,null,null
