TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,SCD30_CO2,SCD30_TEMP,SCD30_HUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ppm,C,%,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,SCD30 CO2,SCD30 Temperature,SCD30 Humidity,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,158,160,161,89,87,88
2022-03-25T00:00:07Z,22.16,52.39,100,0,51.09,102.92,143.00,1341.00,360,24.60,70.47,14,24,24
2022-03-25T00:01:07Z,22.16,50.68,100,0,51.24,102.92,136.00,1295.00,359,24.59,70.67,null,null,null
2022-03-25T00:02:07Z,22.14,49.95,100,0,49.31,102.93,145.00,1352.00,360,24.59,69.40,null,null,null
2022-03-25T00:03:07Z,22.16,50.34,100,0,50.22,102.92,141.00,1330.00,362,24.62,68.59,null,null,null
2022-03-25T00:04:07Z,22.14,49.99,100,0,53.74,102.92,136.00,1299.00,363,24.59,67.97,null,null,null
2022-03-25T00:05:07Z,22.16,49.10,100,0,54.79,102.92,139.00,1313.00,365,24.60,66.97,14,27,28
2022-03-25T00:06:07Z,22.17,49.61,100,0,50.26,102.92,139.00,1316.00,364,24.59,67.38,null,null,null
2022-03-25T00:07:07Z,22.17,48.79,100,0,48.52,102.92,134.00,1281.00,364,24.58,65.89,null,null,null
2022-03-25T00:08:07Z,22.17,48.59,100,0,55.17,102.92,134.00,1281.00,365,24.62,64.79,null,null,null
2022-03-25T00:09:07Z,22.19,48.04,100,0,48.75,102.92,136.00,1299.00,364,24.60,64.21,null,null,null
2022-03-25T00:10:07Z,22.17,48.32,100,0,51.84,102.92,136.00,1299.00,363,24.59,63.58,14,25,27
2022-03-25T00:11:07Z,22.19,48.11,100,0,51.66,102.92,130.00,1259.00,363,24.59,64.07,null,null,null
2022-03-25T00:12:07Z,22.17,47.64,100,0,51.48,102.92,130.00,1259.00,363,24.58,62.28,null,null,null
2022-03-25T00:13:07Z,22.19,46.97,100,0,52.41,102.92,133.00,1277.00,362,24.58,60.92,null,null,null
2022-03-25T00:14:07Z,22.20,46.39,100,0,51.81,102.92,135.00,1291.00,365,24.60,59.37,null,null,null
2022-03-25T00:15:07Z,22.19,46.98,100,0,55.23,102.92,136.00,1299.00,364,24.59,59.87,13,24,28
2022-03-25T00:16:07Z,22.22,46.78,100,0,53.48,102.92,127.00,1238.00,364,24.59,60.38,null,null,null
2022-03-25T00:17:07Z,22.20,47.06,100,0,55.18,102.92,125.00,1224.00,365,24.59,59.11,null,null,null
2022-03-25T00:18:07Z,22.19,46.77,100,0,51.35,102.92,129.00,1248.00,365,24.60,58.58,null,null,null
2022-03-25T00:19:07Z,22.24,46.59,100,0,53.20,102.92,125.00,1224.00,365,24.62,57.70,null,null,null
2022-03-25T00:20:07Z,22.22,46.81,100,0,50.85,102.92,128.00,1242.00,367,24.60,57.59,12,23,24
2022-03-25T00:21:07Z,22.22,46.66,100,0,53.05,102.92,117.00,1174.00,365,24.59,58.34,null,null,null
2022-03-25T00:22:07Z,22.24,46.60,100,0,53.44,102.91,125.00,1224.00,369,24.59,57.23,null,null,null
2022-03-25T00:23:07Z,22.24,46.30,100,0,49.69,102.92,116.00,1163.00,370,24.63,56.34,null,null,null
2022-03-25T00:24:07Z,22.23,46.12,100,0,52.88,102.91,123.00,1212.00,368,24.62,55.74,null,null,null
2022-03-25T00:25:07Z,22.20,45.59,100,0,54.01,102.92,117.00,1168.00,369,24.62,54.46,15,28,29
2022-03-25T00:26:07Z,22.24,45.84,100,0,51.09,102.92,127.00,1235.00,367,24.62,55.69,null,null,null
2022-03-25T00:27:07Z,22.24,45.43,100,0,53.55,102.91,114.00,1153.00,368,24.60,54.02,null,null,null
2022-03-25T00:28:07Z,22.24,45.41,100,0,49.85,102.92,126.00,1228.00,371,24.60,53.52,null,null,null
2022-03-25T00:29:07Z,22.23,45.15,100,0,51.32,102.91,115.00,1159.00,372,24.60,52.80,null,null,null
2022-03-25T00:30:07Z,22.22,44.91,100,0,52.71,102.91,124.00,1220.00,373,24.62,51.72,14,26,28
2022-03-25T00:31:07Z,22.26,45.03,100,0,53.69,102.92,115.00,1159.00,375,24.62,52.35,null,null,null
2022-03-25T00:32:07Z,22.26,45.09,100,0,54.26,102.92,106.00,1099.00,375,24.63,51.76,null,null,null
2022-03-25T00:33:07Z,22.26,45.05,100,0,53.33,102.92,104.00,1086.00,374,24.60,51.32,null,null,null
2022-03-25T00:34:07Z,22.26,45.04,100,0,50.26,102.92,106.00,1099.00,375,24.62,50.96,null,null,null
2022-03-25T00:35:07Z,22.24,44.77,100,0,55.15,102.92,104.00,1086.00,373,24.64,50.04,14,23,25
2022-03-25T00:36:07Z,22.26,44.88,100,0,54.03,102.92,117.00,1174.00,373,24.64,50.62,null,null,null
2022-03-25T00:37:07Z,22.27,44.92,100,0,52.34,102.92,103.00,1077.00,373,24.64,50.07,null,null,null
2022-03-25T00:38:07Z,22.26,45.04,100,0,53.11,102.92,103.00,1077.00,371,24.62,49.72,null,null,null
2022-03-25T00:39:07Z,22.27,44.71,100,0,51.79,102.92,103.00,1077.00,370,24.64,48.79,null,null,null
