TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,SCD30_CO2,SCD30_TEMP,SCD30_HUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ppm,C,%,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,SCD30 CO2,SCD30 Temperature,SCD30 Humidity,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,158,160,161,89,87,88
2022-08-25T00:00:07Z,22.20,55.57,99,0,43.10,101.28,11.00,476.00,418,24.54,45.94,0,0,0
2022-08-25T00:01:07Z,22.21,55.55,99,0,45.03,101.28,9.00,464.00,418,24.51,45.94,null,null,null
2022-08-25T00:02:07Z,22.26,55.47,99,0,45.79,101.28,9.00,464.00,416,24.55,45.92,null,null,null
2022-08-25T00:03:07Z,22.24,55.52,99,0,42.87,101.28,8.00,454.00,414,24.54,45.90,null,null,null
2022-08-25T00:04:07Z,22.23,55.54,99,0,43.33,101.28,7.00,446.00,414,24.54,45.90,null,null,null
2022-08-25T00:05:07Z,22.20,55.54,99,0,41.23,101.28,10.00,472.00,416,24.54,45.93,0,0,0
2022-08-25T00:06:07Z,22.21,55.54,99,0,46.69,101.28,9.00,461.00,416,24.54,45.93,null,null,null
2022-08-25T00:07:07Z,22.24,55.47,99,0,44.93,101.28,10.00,472.00,416,24.54,45.89,null,null,null
2022-08-25T00:08:07Z,22.21,55.51,99,0,42.58,101.29,10.00,472.00,414,24.54,45.94,null,null,null
2022-08-25T00:09:07Z,22.21,55.54,99,0,44.05,101.28,9.00,464.00,412,24.54,45.87,null,null,null
2022-08-25T00:10:07Z,22.21,55.53,99,0,43.56,101.28,10.00,472.00,413,24.54,45.95,0,0,0
2022-08-25T00:11:07Z,22.21,55.50,99,0,42.05,101.28,5.00,436.00,414,24.55,45.92,null,null,null
2022-08-25T00:12:07Z,22.23,55.49,99,0,41.38,101.28,10.00,472.00,412,24.55,45.96,null,null,null
2022-08-25T00:13:07Z,22.24,55.50,99,0,42.54,101.28,10.00,472.00,410,24.54,45.92,null,null,null
2022-08-25T00:14:07Z,22.24,55.52,99,0,41.58,101.28,10.00,472.00,410,24.54,45.90,null,null,null
2022-08-25T00:15:07Z,22.21,55.58,99,0,44.26,101.28,10.00,472.00,413,24.55,45.96,0,0,0
2022-08-25T00:16:07Z,22.20,55.54,99,0,39.49,101.28,8.00,455.00,412,24.55,45.93,null,null,null
2022-08-25T00:17:07Z,22.23,55.46,99,0,42.98,101.28,9.00,464.00,411,24.54,45.92,null,null,null
2022-08-25T00:18:07Z,22.23,55.47,99,0,44.46,101.28,9.00,464.00,413,24.54,45.92,null,null,null
2022-08-25T00:19:07Z,22.23,55.51,99,0,44.39,101.28,10.00,472.00,416,24.55,45.91,null,null,null
2022-08-25T00:20:07Z,22.20,55.52,99,0,44.69,101.28,10.00,472.00,416,24.54,45.93,0,0,0
2022-08-25T00:21:07Z,22.23,55.51,99,0,43.01,101.28,9.00,464.00,414,24.53,45.93,null,null,null
2022-08-25T00:22:07Z,22.24,55.47,99,0,43.41,101.28,9.00,464.00,414,24.55,45.94,null,null,null
2022-08-25T00:23:07Z,22.24,55.49,99,0,43.46,101.28,6.00,444.00,414,24.55,45.92,null,null,null
2022-08-25T00:24:07Z,22.21,55.50,99,0,42.53,101.28,10.00,472.00,413,24.54,45.93,null,null,null
2022-08-25T00:25:07Z,22.21,55.54,99,0,42.97,101.28,9.00,464.00,416,24.54,45.93,0,0,0
2022-08-25T00:26:07Z,22.21,55.54,99,0,48.10,101.29,9.00,461.00,419,24.54,45.92,null,null,null
2022-08-25T00:27:07Z,22.24,55.46,99,0,42.67,101.28,9.00,464.00,416,24.54,45.93,null,null,null
2022-08-25T00:28:07Z,22.24,55.46,99,0,45.31,101.28,9.00,464.00,412,24.55,45.91,null,null,null
2022-08-25T00:29:07Z,22.24,55.49,99,0,42.04,101.28,9.00,464.00,407,24.55,45.93,null,null,null
2022-08-25T00:30:07Z,22.20,55.49,99,0,41.95,101.28,6.00,444.00,408,24.54,45.93,0,0,0
2022-08-25T00:31:07Z,22.21,55.49,99,0,45.06,101.28,9.00,464.00,409,24.55,45.93,null,null,null
2022-08-25T00:32:07Z,22.24,55.44,99,0,43.71,101.28,9.00,464.00,410,24.55,45.92,null,null,null
2022-08-25T00:33:07Z,22.23,55.46,99,0,43.34,101.28,9.00,461.00,411,24.54,45.90,null,null,null
2022-08-25T00:34:07Z,22.21,55.46,99,0,42.92,101.28,9.00,464.00,411,24.54,45.92,null,null,null
2022-08-25T00:35:07Z,22.19,55.52,99,0,41.87,101.28,6.00,444.00,412,24.55,45.91,0,0,0
2022-08-25T00:36:07Z,22.23,55.44,99,0,41.48,101.28,9.00,464.00,413,24.53,45.89,null,null,null
2022-08-25T00:37:07Z,22.24,55.43,99,0,40.53,101.28,8.00,455.00,412,24.55,45.92,null,null,null
2022-08-25T00:38:07Z,22.23,55.47,99,0,37.67,101.29,8.00,459.00,415,24.57,45.92,null,null,null
2022-08-25T00:39:07Z,22.23,55.45,99,0,43.28,101.28,9.00,461.00,412,24.53,45.88,null,null,null
2022-08-25T00:40:07Z,22.20,55.50,99,0,45.14,101.29,8.00,455.00,413,24.55,45.89,0,0,0
