TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,SCD30_CO2,SCD30_TEMP,SCD30_HUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ppm,C,%,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,SCD30 CO2,SCD30 Temperature,SCD30 Humidity,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,158,160,161,89,87,88
2022-10-11T00:00:39Z,15.99,69.96,99,0,35.51,102.11,53.00,748.00,903,19.36,57.17,null,null,null
2022-10-11T00:01:39Z,15.99,69.98,99,0,31.45,102.11,49.00,728.00,901,19.36,57.19,0,0,0
2022-10-11T00:02:39Z,16.00,69.99,99,0,29.80,102.11,55.00,763.00,896,19.36,57.20,null,null,null
2022-10-11T00:03:39Z,15.97,70.00,99,0,35.77,102.11,55.00,763.00,897,19.33,57.19,null,null,null
2022-10-11T00:04:39Z,15.99,70.01,99,0,32.12,102.11,53.00,748.00,892,19.32,57.16,null,null,null
2022-10-11T00:05:39Z,15.97,69.96,99,0,29.79,102.11,53.00,748.00,893,19.32,57.17,null,null,null
2022-10-11T00:06:39Z,15.97,69.99,99,0,30.16,102.11,50.00,732.00,895,19.33,57.19,3,3,3
2022-10-11T00:07:39Z,15.97,70.03,100,0,31.01,102.10,54.00,757.00,889,19.32,57.17,null,null,null
2022-10-11T00:08:39Z,15.96,70.01,99,0,34.15,102.10,55.00,763.00,887,19.32,57.19,null,null,null
2022-10-11T00:09:39Z,15.94,69.99,100,0,32.03,102.10,55.00,763.00,886,19.30,57.16,null,null,null
2022-10-11T00:10:39Z,15.94,70.00,100,0,28.55,102.10,47.00,715.00,888,19.33,57.16,null,null,null
2022-10-11T00:11:39Z,15.92,70.04,99,0,30.85,102.10,55.00,763.00,886,19.30,57.17,0,0,0
2022-10-11T00:12:39Z,15.92,70.01,99,0,31.32,102.10,56.00,774.00,883,19.29,57.20,null,null,null
2022-10-11T00:13:39Z,15.92,70.00,99,0,28.99,102.11,54.00,757.00,885,19.30,57.19,null,null,null
2022-10-11T00:14:39Z,15.92,70.02,99,0,28.63,102.11,55.00,763.00,884,19.30,57.16,null,null,null
2022-10-11T00:15:39Z,15.92,70.02,99,0,37.11,102.11,47.00,715.00,883,19.29,57.18,null,null,null
2022-10-11T00:16:39Z,15.90,70.02,99,0,34.16,102.11,44.00,694.00,883,19.29,57.18,0,0,0
2022-10-11T00:17:39Z,15.93,70.07,100,0,32.17,102.10,55.00,763.00,881,19.29,57.17,null,null,null
2022-10-11T00:18:39Z,15.94,70.06,99,0,36.59,102.10,54.00,757.00,877,19.29,57.17,null,null,null
2022-10-11T00:19:39Z,15.89,70.02,99,0,32.41,102.10,54.00,757.00,874,19.26,57.20,null,null,null
2022-10-11T00:20:39Z,15.92,70.02,99,0,32.08,102.10,47.00,715.00,876,19.25,57.20,null,null,null
2022-10-11T00:21:39Z,15.92,69.99,99,0,37.24,102.10,53.00,748.00,877,19.26,57.16,0,0,0
2022-10-11T00:22:39Z,15.90,70.04,99,0,30.07,102.10,54.00,757.00,877,19.25,57.16,null,null,null
2022-10-11T00:23:39Z,15.93,70.00,99,0,29.69,102.10,52.00,744.00,873,19.25,57.16,null,null,null
2022-10-11T00:24:39Z,15.87,70.02,99,0,36.98,102.10,46.00,708.00,874,19.25,57.20,null,null,null
2022-10-11T00:25:39Z,15.90,69.96,99,0,29.73,102.10,53.00,748.00,877,19.25,57.20,null,null,null
2022-10-11T00:26:39Z,15.89,69.97,99,0,29.15,102.10,53.00,748.00,885,19.23,57.19,0,0,0
2022-10-11T00:27:39Z,15.89,69.96,100,0,35.39,102.11,53.00,748.00,888,19.22,57.18,null,null,null
2022-10-11T00:28:39Z,15.87,70.01,100,0,32.54,102.11,52.00,744.00,890,19.23,57.17,null,null,null
2022-10-11T00:29:39Z,15.89,69.96,99,0,28.36,102.11,47.00,715.00,899,19.25,57.18,null,null,null
2022-10-11T00:30:39Z,15.87,69.96,99,0,27.69,102.11,52.00,744.00,903,19.23,57.14,null,null,null
2022-10-11T00:31:39Z,15.87,69.96,100,0,32.60,102.11,53.00,748.00,906,19.23,57.16,0,0,0
2022-10-11T00:32:39Z,15.86,69.96,99,0,30.31,102.11,50.00,732.00,905,19.22,57.15,null,null,null
2022-10-11T00:33:39Z,15.86,69.96,100,0,36.03,102.12,52.00,744.00,905,19.21,57.17,null,null,null
2022-10-11T00:34:39Z,15.86,69.92,100,0,26.21,102.12,50.00,732.00,904,19.22,57.19,null,null,null
2022-10-11T00:35:39Z,15.83,69.93,99,0,31.84,102.12,43.00,686.00,904,19.23,57.19,null,null,null
2022-10-11T00:36:39Z,15.83,69.91,100,0,33.85,102.12,52.00,744.00,903,19.19,57.14,0,0,0
2022-10-11T00:37:39Z,15.84,69.96,99,0,25.00,102.12,50.00,732.00,900,19.21,57.17,null,null,null
2022-10-11T00:38:39Z,15.82,69.99,100,0,36.41,102.12,46.00,702.00,896,19.21,57.17,null,null,null
2022-10-11T00:39:39Z,15.80,69.98,100,0,31.55,102.12,50.00,732.00,893,19.19,57.15,null,null,null
2022-10-11T00:40:39Z,15.83,69.96,100,0,34.24,102.12,50.00,732.00,892,19.22,57.15,null,null,null
