TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,SCD30_CO2,SCD30_TEMP,SCD30_HUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ppm,C,%,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,SCD30 CO2,SCD30 Temperature,SCD30 Humidity,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,158,160,161,89,87,88
2021-10-10T00:00:54Z,21.66,54.75,100,13,39.23,102.61,25.00,565.00,439,24.27,44.05,2,2,2
2021-10-10T00:01:54Z,21.67,54.70,100,13,38.28,102.61,23.00,551.00,441,24.27,44.04,null,null,null
2021-10-10T00:02:54Z,21.66,54.69,100,13,37.97,102.61,20.00,534.00,440,24.27,44.06,null,null,null
2021-10-10T00:03:54Z,21.67,54.65,100,13,40.03,102.61,23.00,551.00,434,24.26,44.07,null,null,null
2021-10-10T00:04:54Z,21.67,54.77,100,13,37.80,102.62,23.00,556.00,436,24.26,44.05,null,null,null
2021-10-10T00:05:54Z,21.69,54.74,100,13,42.32,102.62,22.00,545.00,440,24.27,44.06,2,2,2
2021-10-10T00:06:54Z,21.69,54.75,100,13,33.64,102.62,23.00,551.00,438,24.26,44.07,null,null,null
2021-10-10T00:07:54Z,21.69,54.73,100,13,36.45,102.62,21.00,540.00,439,24.27,44.04,null,null,null
2021-10-10T00:08:54Z,21.67,54.79,100,13,34.87,102.62,23.00,556.00,437,24.26,44.08,null,null,null
2021-10-10T00:09:54Z,21.66,54.82,100,13,39.02,102.62,22.00,545.00,438,24.27,44.06,null,null,null
2021-10-10T00:10:54Z,21.67,54.75,100,13,37.65,102.62,22.00,545.00,436,24.26,44.07,1,1,1
2021-10-10T00:11:54Z,21.67,54.78,100,13,40.20,102.62,18.00,524.00,437,24.26,44.05,null,null,null
2021-10-10T00:12:54Z,21.69,54.81,100,13,38.88,102.62,23.00,551.00,435,24.26,44.07,null,null,null
2021-10-10T00:13:54Z,21.67,54.78,100,13,41.00,102.62,23.00,551.00,438,24.27,44.05,null,null,null
2021-10-10T00:14:54Z,21.69,54.81,100,13,37.08,102.63,23.00,556.00,439,24.26,44.08,null,null,null
2021-10-10T00:15:54Z,21.67,54.76,100,13,41.93,102.63,23.00,551.00,436,24.26,44.06,1,1,1
2021-10-10T00:16:54Z,21.66,54.77,100,13,43.51,102.62,23.00,551.00,434,24.29,44.04,null,null,null
2021-10-10T00:17:54Z,21.69,54.68,100,13,39.60,102.62,24.00,561.00,436,24.29,44.06,null,null,null
2021-10-10T00:18:54Z,21.70,54.73,100,13,35.09,102.62,25.00,567.00,438,24.27,44.05,null,null,null
2021-10-10T00:19:54Z,21.67,54.64,100,13,38.30,102.62,26.00,577.00,438,24.27,44.05,null,null,null
2021-10-10T00:20:54Z,21.66,54.56,100,13,41.44,102.62,26.00,577.00,439,24.26,43.98,1,1,1
2021-10-10T00:21:54Z,21.69,54.67,100,13,39.33,102.62,21.00,540.00,439,24.27,44.02,null,null,null
2021-10-10T00:22:54Z,21.67,54.62,100,13,37.06,102.62,26.00,577.00,440,24.26,43.98,null,null,null
2021-10-10T00:23:54Z,21.67,54.62,100,13,42.33,102.62,26.00,577.00,439,24.26,44.01,null,null,null
2021-10-10T00:24:54Z,21.67,54.66,100,13,39.66,102.63,25.00,567.00,438,24.26,43.98,null,null,null
2021-10-10T00:25:54Z,21.67,54.66,100,13,40.53,102.63,22.00,546.00,440,24.29,43.98,2,3,3
2021-10-10T00:26:54Z,21.67,54.57,100,13,38.41,102.63,25.00,567.00,442,24.26,43.96,null,null,null
2021-10-10T00:27:54Z,21.69,54.52,100,13,38.19,102.63,25.00,567.00,441,24.29,43.98,null,null,null
2021-10-10T00:28:54Z,21.67,54.45,100,13,39.10,102.64,25.00,567.00,442,24.27,43.92,null,null,null
2021-10-10T00:29:54Z,21.69,54.55,99,13,37.72,102.64,25.00,567.00,444,24.26,43.93,null,null,null
2021-10-10T00:30:54Z,21.65,54.55,100,13,38.50,102.63,22.00,546.00,443,24.27,43.93,0,0,0
2021-10-10T00:31:54Z,21.66,54.55,100,13,38.66,102.63,25.00,567.00,442,24.23,43.92,null,null,null
2021-10-10T00:32:54Z,21.67,54.51,100,13,37.09,102.63,25.00,567.00,443,24.26,43.95,null,null,null
2021-10-10T00:33:54Z,21.66,54.49,100,13,37.35,102.63,25.00,567.00,445,24.27,43.91,null,null,null
2021-10-10T00:34:54Z,21.66,54.57,100,13,41.73,102.63,22.00,546.00,446,24.27,43.90,null,null,null
2021-10-10T00:35:54Z,21.63,54.43,100,13,42.29,102.63,25.00,567.00,446,24.26,43.87,0,0,0
2021-10-10T00:36:54Z,21.65,54.57,100,13,39.37,102.62,25.00,567.00,445,24.25,43.91,null,null,null
2021-10-10T00:37:54Z,21.69,54.50,100,13,44.07,102.63,25.00,567.00,444,24.25,43.90,null,null,null
2021-10-10T00:38:54Z,21.67,54.48,100,13,42.33,102.62,25.00,567.00,443,24.25,43.91,null,null,null
2021-10-10T00:39:54Z,21.67,54.43,100,13,39.99,102.62,25.00,567.00,440,24.27,43.87,null,null,null
2021-10-10T00:40:54Z,21.69,54.47,100,13,41.02,102.63,22.00,546.00,441,24.27,43.91,0,0,0
