TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,SCD30_CO2,SCD30_TEMP,SCD30_HUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ppm,C,%,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,SCD30 CO2,SCD30 Temperature,SCD30 Humidity,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,158,160,161,89,87,88
2021-10-30T00:00:14Z,21.98,44.83,100,470,40.77,98.81,56.00,774.00,409,24.63,35.27,0,0,0
2021-10-30T00:01:14Z,22.01,44.84,100,470,38.43,98.81,56.00,768.00,409,24.63,35.28,null,null,null
2021-10-30T00:02:14Z,22.00,44.74,100,469,42.11,98.82,56.00,774.00,410,24.60,35.22,null,null,null
2021-10-30T00:03:14Z,22.01,44.90,100,470,43.23,98.82,58.00,785.00,410,24.60,35.25,null,null,null
2021-10-30T00:04:14Z,21.98,44.95,100,470,42.19,98.82,54.00,757.00,412,24.62,35.30,null,null,null
2021-10-30T00:05:14Z,22.00,44.88,100,470,38.64,98.82,58.00,787.00,410,24.62,35.30,1,1,1
2021-10-30T00:06:14Z,22.01,44.88,100,468,42.35,98.81,58.00,787.00,412,24.62,35.30,null,null,null
2021-10-30T00:07:14Z,22.04,44.95,100,470,37.35,98.81,58.00,783.00,414,24.59,35.25,null,null,null
2021-10-30T00:08:14Z,22.01,44.84,100,469,39.63,98.82,56.00,774.00,412,24.59,35.25,null,null,null
2021-10-30T00:09:14Z,21.98,44.94,100,470,42.86,98.81,58.00,787.00,411,24.60,35.28,null,null,null
2021-10-30T00:10:14Z,22.01,44.98,100,470,40.54,98.81,58.00,783.00,407,24.62,35.25,0,0,0
2021-10-30T00:11:14Z,22.00,44.96,100,469,37.56,98.81,58.00,787.00,407,24.62,35.28,null,null,null
2021-10-30T00:12:14Z,22.01,44.85,100,470,40.98,98.81,53.00,749.00,406,24.60,35.28,null,null,null
2021-10-30T00:13:14Z,22.00,44.95,100,470,39.83,98.81,58.00,787.00,407,24.64,35.32,null,null,null
2021-10-30T00:14:14Z,22.00,45.00,100,470,39.08,98.81,58.00,783.00,405,24.63,35.36,null,null,null
2021-10-30T00:15:14Z,21.98,45.01,100,469,38.41,98.81,58.00,783.00,404,24.63,35.39,0,0,0
2021-10-30T00:16:14Z,22.01,45.09,100,469,40.96,98.81,52.00,742.00,402,24.62,35.35,null,null,null
2021-10-30T00:17:14Z,22.00,45.03,100,469,39.39,98.81,56.00,774.00,403,24.60,35.39,null,null,null
2021-10-30T00:18:14Z,22.01,44.99,100,470,36.13,98.81,56.00,774.00,402,24.60,35.36,null,null,null
2021-10-30T00:19:14Z,22.00,45.03,100,469,38.85,98.81,58.00,783.00,403,24.60,35.36,null,null,null
2021-10-30T00:20:14Z,21.98,44.99,100,469,39.14,98.81,58.00,787.00,404,24.59,35.37,4,5,5
2021-10-30T00:21:14Z,22.00,45.15,100,470,38.61,98.81,51.00,735.00,403,24.62,35.39,null,null,null
2021-10-30T00:22:14Z,22.00,45.07,100,470,37.42,98.80,58.00,783.00,405,24.60,35.44,null,null,null
2021-10-30T00:23:14Z,21.98,45.10,100,470,37.48,98.80,58.00,783.00,406,24.60,35.41,null,null,null
2021-10-30T00:24:14Z,22.00,45.17,100,469,43.63,98.80,58.00,783.00,405,24.62,35.50,null,null,null
2021-10-30T00:25:14Z,22.01,45.22,100,469,37.27,98.80,52.00,742.00,403,24.62,35.47,1,1,1
2021-10-30T00:26:14Z,21.98,45.12,100,469,39.82,98.80,58.00,783.00,406,24.60,35.48,null,null,null
2021-10-30T00:27:14Z,22.04,45.18,100,469,40.17,98.80,56.00,774.00,407,24.60,35.49,null,null,null
2021-10-30T00:28:14Z,22.01,45.13,100,470,39.25,98.80,56.00,768.00,405,24.62,35.46,null,null,null
2021-10-30T00:29:14Z,22.03,45.24,100,470,42.15,98.80,51.00,735.00,405,24.62,35.47,null,null,null
2021-10-30T00:30:14Z,22.01,45.32,100,470,36.61,98.80,54.00,757.00,404,24.63,35.51,2,3,3
2021-10-30T00:31:14Z,22.01,45.15,100,470,39.85,98.79,53.00,748.00,407,24.60,35.51,null,null,null
2021-10-30T00:32:14Z,22.01,45.26,100,470,36.83,98.80,53.00,749.00,409,24.62,35.54,null,null,null
2021-10-30T00:33:14Z,22.00,45.26,100,470,37.34,98.79,47.00,715.00,408,24.62,35.54,null,null,null
2021-10-30T00:34:14Z,21.98,45.37,100,470,41.84,98.80,50.00,733.00,409,24.62,35.56,null,null,null
2021-10-30T00:35:14Z,21.97,45.43,100,470,39.19,98.80,52.00,742.00,408,24.62,35.63,0,0,0
2021-10-30T00:36:14Z,21.98,45.41,100,470,40.29,98.80,52.00,742.00,407,24.62,35.63,null,null,null
2021-10-30T00:37:14Z,22.01,45.37,100,470,39.88,98.80,47.00,715.00,409,24.62,35.59,null,null,null
2021-10-30T00:38:14Z,22.01,45.58,100,470,41.47,98.80,49.00,728.00,406,24.60,35.67,null,null,null
2021-10-30T00:39:14Z,21.98,45.51,100,469,40.15,98.80,47.00,715.00,406,24.63,35.73,null,null,null
2021-10-30T00:40:14Z,21.97,45.61,100,470,38.15,98.80,47.00,715.00,406,24.62,35.71,1,1,1
