TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,SCD30_CO2,SCD30_TEMP,SCD30_HUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ppm,C,%,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,SCD30 CO2,SCD30 Temperature,SCD30 Humidity,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,158,160,161,89,87,88
2022-10-30T00:00:47Z,16.02,72.87,100,0,45.87,100.29,121.00,1198.00,875,19.17,62.50,4,11,16
2022-10-30T00:01:47Z,16.02,72.89,100,0,56.85,100.28,110.00,1128.00,871,19.17,62.49,null,null,null
2022-10-30T00:02:47Z,16.05,72.82,100,0,42.83,100.30,121.00,1198.00,868,19.17,62.49,null,null,null
2022-10-30T00:03:47Z,16.04,72.85,100,0,42.81,100.30,123.00,1212.00,865,19.17,62.47,null,null,null
2022-10-30T00:04:47Z,16.04,72.84,99,0,41.20,100.30,121.00,1198.00,863,19.19,62.46,null,null,null
2022-10-30T00:05:47Z,16.01,72.88,100,0,37.43,100.30,114.00,1150.00,862,19.19,62.45,3,9,12
2022-10-30T00:06:47Z,16.02,72.87,100,0,34.11,100.30,121.00,1198.00,861,19.17,62.48,null,null,null
2022-10-30T00:07:47Z,16.04,72.83,100,0,46.60,100.30,123.00,1212.00,862,19.19,62.49,null,null,null
2022-10-30T00:08:47Z,16.07,72.83,100,0,42.08,100.31,123.00,1212.00,863,19.19,62.50,null,null,null
2022-10-30T00:09:47Z,16.05,72.82,100,0,35.07,100.30,114.00,1150.00,862,19.21,62.46,null,null,null
2022-10-30T00:10:47Z,16.02,72.84,100,0,37.91,100.30,126.00,1228.00,864,19.19,62.45,2,7,14
2022-10-30T00:11:47Z,16.05,72.90,99,0,47.49,100.30,126.00,1228.00,866,19.19,62.47,null,null,null
2022-10-30T00:12:47Z,16.07,72.81,99,0,37.94,100.30,128.00,1242.00,868,19.21,62.47,null,null,null
2022-10-30T00:13:49Z,16.05,72.84,99,0,40.12,100.30,121.00,1198.00,868,19.21,62.46,null,null,null
2022-10-30T00:14:49Z,16.07,72.84,100,0,34.36,100.30,131.00,1266.00,871,19.22,62.48,null,null,null
2022-10-30T00:15:49Z,16.05,72.83,100,0,60.02,100.30,134.00,1281.00,872,19.21,62.45,2,9,12
2022-10-30T00:16:49Z,16.08,72.84,100,0,63.14,100.30,134.00,1281.00,875,19.21,62.50,null,null,null
2022-10-30T00:17:49Z,16.08,72.80,100,0,42.36,100.30,128.00,1242.00,880,19.23,62.47,null,null,null
2022-10-30T00:18:49Z,16.11,72.80,100,0,35.36,100.30,138.00,1307.00,884,19.22,62.46,null,null,null
2022-10-30T00:19:49Z,16.08,72.79,100,0,39.38,100.30,140.00,1321.00,884,19.23,62.47,null,null,null
2022-10-30T00:20:49Z,16.08,72.85,99,0,51.73,100.30,140.00,1321.00,884,19.21,62.46,1,9,12
2022-10-30T00:21:49Z,16.08,72.82,100,0,41.24,100.31,134.00,1281.00,885,19.22,62.45,null,null,null
2022-10-30T00:22:49Z,16.11,72.76,100,0,43.46,100.31,145.00,1352.00,883,19.23,62.45,null,null,null
2022-10-30T00:23:49Z,16.09,72.79,100,0,57.17,100.31,145.00,1352.00,884,19.25,62.46,null,null,null
2022-10-30T00:24:49Z,16.08,72.75,100,0,42.86,100.31,146.00,1360.00,883,19.22,62.45,null,null,null
2022-10-30T00:25:49Z,16.08,72.78,100,0,54.94,100.31,134.00,1281.00,882,19.22,62.45,0,5,7
2022-10-30T00:26:49Z,16.08,72.82,100,0,58.77,100.31,134.00,1281.00,882,19.23,62.45,null,null,null
2022-10-30T00:27:49Z,16.09,72.74,99,0,38.06,100.31,146.00,1360.00,882,19.23,62.43,null,null,null
2022-10-30T00:28:49Z,16.11,72.75,100,0,56.75,100.31,148.00,1372.00,882,19.23,62.41,null,null,null
2022-10-30T00:29:49Z,16.09,72.78,100,0,47.02,100.30,146.00,1360.00,882,19.23,62.43,null,null,null
2022-10-30T00:30:49Z,16.09,72.77,100,0,32.34,100.31,140.00,1321.00,883,19.25,62.46,0,5,5
2022-10-30T00:31:49Z,16.11,72.78,100,0,35.39,100.31,148.00,1376.00,883,19.22,62.43,null,null,null
2022-10-30T00:32:49Z,16.11,72.73,100,0,43.25,100.31,148.00,1376.00,884,19.26,62.39,null,null,null
2022-10-30T00:33:49Z,16.14,72.71,100,0,39.56,100.31,150.00,1389.00,885,19.23,62.43,null,null,null
2022-10-30T00:34:49Z,16.11,72.73,99,0,41.84,100.31,143.00,1341.00,880,19.26,62.44,null,null,null
2022-10-30T00:35:53Z,16.09,72.72,100,0,37.13,100.31,150.00,1389.00,869,19.23,62.41,0,4,5
2022-10-30T00:36:53Z,16.08,72.74,100,0,35.82,100.32,152.00,1400.00,865,19.26,62.37,null,null,null
2022-10-30T00:37:53Z,16.12,72.65,100,0,null,100.32,150.00,1389.00,860,19.23,62.36,null,null,null
2022-10-30T00:38:53Z,16.12,72.67,100,0,39.96,100.32,143.00,1341.00,851,19.23,62.41,null,null,null
2022-10-30T00:39:53Z,16.12,72.68,100,0,34.77,100.31,150.00,1389.00,844,19.23,62.38,null,null,null
