TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,SCD30_CO2,SCD30_TEMP,SCD30_HUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ppm,C,%,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,SCD30 CO2,SCD30 Temperature,SCD30 Humidity,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,158,160,161,89,87,88
2022-10-21T00:00:29Z,15.53,73.90,100,0,41.92,100.01,106.00,1102.00,642,18.99,59.79,null,null,null
2022-10-21T00:01:29Z,15.56,73.88,100,0,60.80,100.01,106.00,1102.00,644,18.99,59.78,null,null,null
2022-10-21T00:02:29Z,15.55,73.90,100,0,37.61,100.01,106.00,1102.00,642,19.01,59.84,null,null,null
2022-10-21T00:03:29Z,15.53,73.87,100,0,35.82,100.01,103.00,1077.00,640,19.01,59.79,0,0,0
2022-10-21T00:04:29Z,15.55,73.94,100,0,34.33,100.01,91.00,1001.00,638,19.01,59.81,null,null,null
2022-10-21T00:05:29Z,15.53,73.93,100,0,25.82,100.01,106.00,1102.00,643,19.01,59.85,null,null,null
2022-10-21T00:06:29Z,15.55,73.92,100,0,31.86,100.01,106.00,1102.00,643,19.02,59.85,null,null,null
2022-10-21T00:07:29Z,15.56,73.88,100,0,32.18,100.00,106.00,1102.00,648,19.05,59.83,null,null,null
2022-10-21T00:08:29Z,15.53,73.89,100,0,33.48,100.00,99.00,1053.00,656,19.03,59.84,0,0,0
2022-10-21T00:09:29Z,15.53,74.04,100,0,34.56,100.00,105.00,1095.00,658,19.01,59.85,null,null,null
2022-10-21T00:10:29Z,15.57,73.95,100,0,32.00,100.00,108.00,1113.00,667,19.02,59.85,null,null,null
2022-10-21T00:11:29Z,15.56,73.93,100,0,40.47,100.00,106.00,1102.00,677,19.02,59.86,null,null,null
2022-10-21T00:12:29Z,15.57,73.93,100,0,33.67,100.00,106.00,1102.00,687,19.03,59.87,null,null,null
2022-10-21T00:13:29Z,15.59,73.91,100,0,30.70,100.00,108.00,1113.00,701,19.03,59.86,3,3,3
2022-10-21T00:14:29Z,15.59,74.03,100,0,29.15,100.00,108.00,1113.00,715,19.03,59.85,null,null,null
2022-10-21T00:15:29Z,15.57,73.93,100,0,30.60,100.00,109.00,1122.00,730,19.05,59.91,null,null,null
2022-10-21T00:16:29Z,15.57,73.95,100,0,29.28,100.00,110.00,1128.00,748,19.06,59.88,null,null,null
2022-10-21T00:17:29Z,15.57,73.91,100,0,33.09,100.00,105.00,1095.00,761,19.05,59.86,null,null,null
2022-10-21T00:18:29Z,15.57,73.95,100,0,38.89,100.00,112.00,1137.00,771,19.02,59.88,4,4,4
2022-10-21T00:19:29Z,15.57,74.07,100,0,26.24,100.00,110.00,1128.00,788,19.03,59.88,null,null,null
2022-10-21T00:20:29Z,15.57,74.04,100,0,38.64,100.00,113.00,1147.00,804,19.08,59.89,null,null,null
2022-10-21T00:21:29Z,15.57,74.00,100,0,33.26,100.00,108.00,1113.00,816,19.05,59.91,null,null,null
2022-10-21T00:22:29Z,15.57,73.98,100,0,33.48,100.00,115.00,1159.00,821,19.06,59.90,null,null,null
2022-10-21T00:23:29Z,15.56,74.00,100,0,32.19,100.00,117.00,1168.00,828,19.05,59.88,5,9,9
2022-10-21T00:24:29Z,15.59,74.08,100,0,37.48,99.99,117.00,1168.00,835,19.05,59.91,null,null,null
2022-10-21T00:25:29Z,15.59,74.03,100,0,29.25,99.99,112.00,1137.00,840,19.08,59.89,null,null,null
2022-10-21T00:26:29Z,15.60,73.97,100,0,31.94,99.99,118.00,1181.00,856,19.08,59.90,null,null,null
2022-10-21T00:27:29Z,15.60,73.98,100,0,31.97,99.99,121.00,1195.00,861,19.08,59.91,null,null,null
2022-10-21T00:28:29Z,15.59,74.03,100,0,34.11,100.00,122.00,1204.00,870,19.08,59.90,4,4,4
2022-10-21T00:29:29Z,15.63,74.16,100,0,36.43,100.00,121.00,1195.00,876,19.06,59.95,null,null,null
2022-10-21T00:30:29Z,15.63,74.09,100,0,32.75,99.99,124.00,1215.00,880,19.05,59.93,null,null,null
2022-10-21T00:31:29Z,15.59,74.03,100,0,33.09,99.99,125.00,1224.00,886,19.08,59.92,null,null,null
2022-10-21T00:32:29Z,15.62,74.02,100,0,32.64,99.99,125.00,1224.00,894,19.08,59.93,null,null,null
2022-10-21T00:33:29Z,15.60,74.03,100,0,35.46,99.98,125.00,1224.00,899,19.09,59.94,1,6,6
2022-10-21T00:34:29Z,15.60,74.15,100,0,31.64,99.99,121.00,1195.00,899,19.09,59.97,null,null,null
2022-10-21T00:35:29Z,15.63,74.13,100,0,31.97,99.99,129.00,1252.00,902,19.09,59.98,null,null,null
2022-10-21T00:36:29Z,15.62,74.07,100,0,30.78,99.99,129.00,1252.00,905,19.06,59.96,null,null,null
2022-10-21T00:37:29Z,15.60,74.05,100,0,33.35,99.99,129.00,1252.00,909,19.06,59.94,null,null,null
2022-10-21T00:38:29Z,15.63,74.06,99,0,31.31,99.98,131.00,1262.00,910,19.09,59.95,4,9,9
2022-10-21T00:39:29Z,15.65,74.16,100,0,30.40,99.98,131.00,1262.00,912,19.10,59.95,null,null,null
