TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,SCD30_CO2,SCD30_TEMP,SCD30_HUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ppm,C,%,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,SCD30 CO2,SCD30 Temperature,SCD30 Humidity,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,158,160,161,89,87,88
2022-08-20T00:00:07Z,23.76,47.03,100,0,38.34,100.76,7.00,452.00,422,26.24,38.94,0,0,0
2022-08-20T00:01:07Z,23.75,47.06,100,0,38.40,100.76,8.00,456.00,423,26.26,38.89,null,null,null
2022-08-20T00:02:07Z,23.76,47.03,100,0,38.50,100.76,11.00,473.00,424,26.24,38.95,null,null,null
2022-08-20T00:03:07Z,23.75,47.05,100,0,35.04,100.76,10.00,466.00,424,26.26,38.99,null,null,null
2022-08-20T00:04:07Z,23.78,47.03,100,0,37.71,100.76,11.00,473.00,422,26.27,38.95,null,null,null
2022-08-20T00:05:07Z,23.75,47.04,100,0,39.84,100.76,10.00,466.00,424,26.26,38.92,0,0,0
2022-08-20T00:06:07Z,23.75,47.03,100,0,38.38,100.75,10.00,466.00,423,26.26,38.93,null,null,null
2022-08-20T00:07:07Z,23.78,47.06,100,0,40.00,100.75,11.00,473.00,420,26.26,38.91,null,null,null
2022-08-20T00:08:07Z,23.75,47.07,100,0,39.52,100.75,11.00,473.00,420,26.23,38.91,null,null,null
2022-08-20T00:09:07Z,23.76,47.01,100,0,36.96,100.75,11.00,473.00,421,26.24,38.92,null,null,null
2022-08-20T00:10:07Z,23.72,47.08,100,0,38.81,100.75,11.00,473.00,420,26.24,38.92,0,0,0
2022-08-20T00:11:07Z,23.75,47.07,100,0,38.86,100.75,13.00,487.00,422,26.26,38.89,null,null,null
2022-08-20T00:12:07Z,23.79,47.04,100,0,39.50,100.75,10.00,466.00,423,26.24,38.92,null,null,null
2022-08-20T00:13:07Z,23.75,47.03,100,0,36.58,100.75,11.00,473.00,422,26.23,38.93,null,null,null
2022-08-20T00:14:07Z,23.75,47.04,100,0,37.09,100.75,11.00,473.00,421,26.26,38.93,null,null,null
2022-08-20T00:15:07Z,23.74,47.07,100,0,36.83,100.75,11.00,476.00,419,26.24,38.92,0,0,0
2022-08-20T00:16:07Z,23.75,47.05,100,0,38.70,100.74,16.00,508.00,419,26.23,38.91,null,null,null
2022-08-20T00:17:07Z,23.76,47.03,100,0,38.68,100.75,11.00,476.00,419,26.24,38.92,null,null,null
2022-08-20T00:18:07Z,23.75,47.02,100,0,38.43,100.75,11.00,476.00,421,26.27,38.91,null,null,null
2022-08-20T00:19:07Z,23.74,47.01,100,0,39.20,100.75,11.00,473.00,420,26.23,38.91,null,null,null
2022-08-20T00:20:07Z,23.72,47.05,100,0,40.45,100.74,13.00,487.00,419,26.24,38.89,0,0,0
2022-08-20T00:21:07Z,23.76,47.02,100,0,37.33,100.75,12.00,485.00,423,26.22,38.86,null,null,null
2022-08-20T00:22:07Z,23.76,46.99,100,0,38.92,100.75,11.00,473.00,423,26.24,38.90,null,null,null
2022-08-20T00:23:07Z,23.75,47.03,100,0,39.30,100.74,11.00,473.00,422,26.24,38.90,null,null,null
2022-08-20T00:24:07Z,23.75,46.98,100,0,39.09,100.75,11.00,473.00,423,26.23,38.91,null,null,null
2022-08-20T00:25:07Z,23.72,47.04,100,0,37.06,100.74,11.00,473.00,423,26.22,38.90,0,0,0
2022-08-20T00:26:07Z,23.74,47.02,100,0,36.75,100.74,16.00,508.00,422,26.23,38.88,null,null,null
2022-08-20T00:27:07Z,23.75,47.01,100,0,39.60,100.74,17.00,517.00,426,26.23,38.90,null,null,null
2022-08-20T00:28:07Z,23.72,46.99,100,0,38.96,100.74,11.00,473.00,421,26.23,38.89,null,null,null
2022-08-20T00:29:07Z,23.74,47.05,100,0,37.96,100.74,17.00,517.00,423,26.23,38.90,null,null,null
2022-08-20T00:30:07Z,23.71,47.01,100,0,34.94,100.74,14.00,492.00,422,26.22,38.90,0,0,0
2022-08-20T00:31:07Z,23.72,47.01,100,0,35.36,100.74,12.00,485.00,424,26.23,38.93,null,null,null
2022-08-20T00:32:07Z,23.74,46.98,100,0,41.29,100.74,17.00,517.00,425,26.24,38.87,null,null,null
2022-08-20T00:33:07Z,23.74,47.00,100,0,36.21,100.73,17.00,517.00,425,26.22,38.90,null,null,null
2022-08-20T00:34:07Z,23.72,46.99,100,0,40.54,100.73,17.00,517.00,427,26.20,38.85,null,null,null
2022-08-20T00:35:07Z,23.74,47.03,100,0,39.34,100.73,17.00,517.00,425,26.23,38.85,0,0,0
2022-08-20T00:36:07Z,23.74,46.99,100,0,42.78,100.74,18.00,519.00,423,26.22,38.87,null,null,null
2022-08-20T00:37:07Z,23.71,46.98,100,0,36.45,100.73,17.00,517.00,424,26.23,38.88,null,null,null
2022-08-20T00:38:07Z,23.72,46.94,100,0,38.24,100.73,14.00,492.00,426,26.20,38.87,null,null,null
2022-08-20T00:39:07Z,23.72,46.94,100,0,41.68,100.73,14.00,492.00,426,26.20,38.87,null,null,null
2022-08-20T00:40:07Z,23.69,47.00,100,0,39.77,100.73,17.00,517.00,427,26.23,38.89,0,0,0
