TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,SCD30_CO2,SCD30_TEMP,SCD30_HUM,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ppm,C,%,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,SCD30 CO2,SCD30 Temperature,SCD30 Humidity,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,158,160,161,89,87,88
2021-06-07T00:00:46Z,24.71,55.37,-1,0,28.77,102.11,20.00,536.00,466,28.32,44.81,null,null,null
2021-06-07T00:01:46Z,24.67,55.37,-1,0,26.64,102.12,19.00,529.00,464,28.31,44.83,null,null,null
2021-06-07T00:02:46Z,24.67,55.42,-1,0,30.55,102.11,20.00,536.00,467,28.29,44.85,2,2,2
2021-06-07T00:03:46Z,24.68,55.43,-1,0,25.92,102.12,17.00,517.00,467,28.32,44.86,null,null,null
2021-06-07T00:04:46Z,24.71,55.37,-1,0,28.83,102.12,20.00,534.00,467,28.29,44.92,null,null,null
2021-06-07T00:05:46Z,24.69,55.38,-1,0,33.19,102.12,20.00,534.00,469,28.28,44.88,null,null,null
2021-06-07T00:06:46Z,24.71,55.45,-1,0,32.90,102.12,19.00,527.00,472,28.31,44.87,null,null,null
2021-06-07T00:07:46Z,24.71,55.44,-1,0,34.49,102.12,20.00,534.00,472,28.29,44.92,1,1,1
2021-06-07T00:08:46Z,24.71,55.51,-1,0,32.90,102.12,19.00,531.00,471,28.28,44.91,null,null,null
2021-06-07T00:09:46Z,24.69,55.46,-1,0,41.84,102.12,18.00,524.00,472,28.29,44.89,null,null,null
2021-06-07T00:10:46Z,24.71,55.48,-1,0,27.90,102.12,19.00,531.00,472,28.28,44.94,null,null,null
2021-06-07T00:11:46Z,24.68,55.44,-1,0,31.33,102.12,18.00,524.00,475,28.28,44.91,null,null,null
2021-06-07T00:12:46Z,24.68,55.48,-1,0,32.83,102.12,17.00,514.00,473,28.29,44.94,2,6,6
2021-06-07T00:13:46Z,24.69,55.51,-1,0,26.78,102.12,19.00,531.00,473,28.29,44.95,null,null,null
2021-06-07T00:14:46Z,24.71,55.48,-1,0,28.37,102.12,19.00,530.00,469,28.29,44.99,null,null,null
2021-06-07T00:15:46Z,24.68,55.51,-1,0,28.23,102.12,15.00,500.00,472,28.29,45.00,null,null,null
2021-06-07T00:16:46Z,24.68,55.51,-1,0,27.38,102.11,19.00,530.00,472,28.31,45.00,null,null,null
2021-06-07T00:17:46Z,24.69,55.58,-1,0,31.62,102.12,19.00,530.00,471,28.29,44.99,1,5,5
2021-06-07T00:18:46Z,24.69,55.59,-1,0,28.54,102.12,19.00,530.00,474,28.28,45.03,null,null,null
2021-06-07T00:19:46Z,24.68,55.55,-1,0,29.74,102.12,19.00,530.00,475,28.29,45.01,null,null,null
2021-06-07T00:20:46Z,24.67,55.58,-1,0,29.77,102.11,19.00,529.00,472,28.29,45.01,null,null,null
2021-06-07T00:21:46Z,24.68,55.62,-1,0,28.98,102.12,19.00,529.00,472,28.29,45.08,null,null,null
2021-06-07T00:22:46Z,24.65,55.61,-1,0,30.74,102.12,16.00,506.00,475,28.28,45.01,2,2,2
2021-06-07T00:23:46Z,24.69,55.58,-1,0,27.96,102.11,19.00,529.00,475,28.29,45.03,null,null,null
2021-06-07T00:24:46Z,24.69,55.59,-1,0,29.82,102.12,19.00,529.00,477,28.26,45.01,null,null,null
2021-06-07T00:25:46Z,24.67,55.58,-1,0,28.73,102.11,14.00,498.00,474,28.29,45.07,null,null,null
2021-06-07T00:26:46Z,24.65,55.62,-1,0,31.26,102.12,19.00,529.00,473,28.29,45.05,null,null,null
2021-06-07T00:27:46Z,24.67,55.64,-1,0,39.42,102.11,19.00,527.00,473,28.26,45.10,0,0,0
2021-06-07T00:28:46Z,24.68,55.65,-1,0,44.57,102.12,18.00,519.00,476,28.31,45.07,null,null,null
2021-06-07T00:29:46Z,24.71,55.64,-1,0,27.94,102.12,18.00,519.00,472,28.28,45.05,null,null,null
2021-06-07T00:30:46Z,24.68,55.62,-1,0,28.76,102.11,19.00,527.00,472,28.28,45.08,null,null,null
2021-06-07T00:31:46Z,24.69,55.63,-1,0,26.46,102.12,19.00,527.00,468,28.29,45.05,null,null,null
2021-06-07T00:32:46Z,24.69,55.67,-1,0,30.60,102.12,15.00,505.00,468,28.26,45.07,2,2,8
2021-06-07T00:33:46Z,24.71,55.64,-1,0,26.82,102.11,19.00,526.00,471,28.28,45.06,null,null,null
2021-06-07T00:34:46Z,24.68,55.66,-1,0,28.92,102.11,19.00,526.00,470,28.26,45.05,null,null,null
2021-06-07T00:35:46Z,24.68,55.65,-1,0,28.01,102.11,17.00,518.00,470,28.28,45.09,null,null,null
2021-06-07T00:36:46Z,24.65,55.67,-1,0,29.08,102.12,17.00,518.00,469,28.28,45.06,null,null,null
2021-06-07T00:37:46Z,24.68,55.74,-1,0,31.46,102.11,17.00,518.00,469,28.26,45.10,0,0,0
2021-06-07T00:38:46Z,24.68,55.69,-1,0,27.49,102.11,17.00,518.00,471,28.28,45.16,null,null,null
2021-06-07T00:39:46Z,24.68,55.74,-1,0,25.98,102.11,17.00,518.00,473,28.28,45.10,null,null,null
