,M0_count,M1_count
0,198.0,253.0
1,116.0,158.0
2,109.0,120.0
3,141.0,120.0
4,247.0,187.0
5,592.0,543.0
6,1566.0,1983.0
7,2386.0,3215.0
8,2117.0,2644.0
9,1947.0,2628.0
10,1783.0,2225.0
11,1894.0,2389.0
12,1906.0,2213.0
13,1942.0,2228.0
14,1881.0,2155.0
15,2078.0,2242.0
16,2266.0,2393.0
17,2180.0,2432.0
18,1906.0,2191.0
19,1383.0,1623.0
20,992.0,1108.0
21,783.0,808.0
22,545.0,612.0
23,337.0,356.0
24,167.0,178.0
25,120.0,107.0
26,100.0,121.0
27,149.0,148.0
28,218.0,209.0
29,598.0,548.0
30,1619.0,2082.0
31,2305.0,2927.0
32,1962.0,1871.0
33,1785.0,2104.0
34,1666.0,2130.0
35,1711.0,2195.0
36,1795.0,2317.0
37,1790.0,2215.0
38,1846.0,2158.0
39,2029.0,2336.0
40,2277.0,2441.0
41,2146.0,2152.0
42,1853.0,2054.0
43,1392.0,1615.0
44,986.0,1049.0
45,802.0,816.0
46,667.0,680.0
47,350.0,403.0
48,192.0,215.0
49,116.0,152.0
50,132.0,165.0
51,160.0,182.0
52,194.0,217.0
53,566.0,584.0
54,1535.0,2060.0
55,2472.0,3188.0
56,2022.0,1935.0
57,1843.0,2266.0
58,1690.0,2251.0
59,1702.0,2283.0
60,1861.0,2356.0
61,1862.0,2257.0
62,1837.0,2209.0
63,2103.0,2144.0
64,2335.0,2126.0
65,2245.0,2373.0
66,1972.0,2223.0
67,1346.0,1585.0
68,1099.0,1206.0
69,830.0,916.0
70,619.0,667.0
71,379.0,396.0
72,197.0,212.0
73,140.0,126.0
74,143.0,143.0
75,142.0,172.0
76,206.0,218.0
77,556.0,546.0
78,1566.0,2059.0
79,2426.0,3403.0
80,2066.0,2177.0
81,1887.0,2015.0
82,1720.0,2240.0
83,1791.0,2177.0
84,1850.0,2219.0
85,1870.0,2269.0
86,1889.0,2184.0
87,2058.0,2246.0
88,2174.0,2465.0
89,2116.0,2536.0
90,1999.0,2186.0
91,1627.0,1879.0
92,1188.0,1228.0
93,941.0,1110.0
94,730.0,857.0
95,507.0,578.0
96,244.0,356.0
97,160.0,206.0
98,130.0,149.0
99,163.0,202.0
100,274.0,259.0
101,557.0,550.0
102,1435.0,1969.0
103,2195.0,2985.0
104,2011.0,2627.0
105,1890.0,2237.0
106,1936.0,2460.0
107,1958.0,2476.0
108,2080.0,2385.0
109,2109.0,2425.0
110,2119.0,2599.0
111,2317.0,2504.0
112,2258.0,2756.0
113,2276.0,2696.0
114,1854.0,2083.0
115,1625.0,2024.0
116,1337.0,1444.0
117,936.0,1178.0
118,854.0,1042.0
119,725.0,741.0
120,421.0,441.0
121,256.0,333.0
122,236.0,260.0
123,251.0,257.0
124,279.0,271.0
125,337.0,331.0
126,642.0,725.0
127,961.0,1302.0
128,1420.0,1601.0
129,1842.0,2372.0
130,2107.0,2552.0
131,2359.0,2755.0
132,2369.0,2705.0
133,2471.0,2905.0
134,1978.0,2080.0
135,2041.0,2288.0
136,2080.0,2278.0
137,2052.0,2455.0
138,2003.0,2570.0
139,1546.0,2027.0
140,1050.0,1382.0
141,931.0,1036.0
142,869.0,1001.0
143,664.0,822.0
144,532.0,592.0
145,374.0,366.0
146,295.0,351.0
147,277.0,272.0
148,221.0,202.0
149,207.0,200.0
150,439.0,466.0
151,572.0,651.0
152,718.0,865.0
153,1129.0,1217.0
154,1656.0,1849.0
155,1977.0,2420.0
156,2126.0,2594.0
157,2200.0,2699.0
158,1972.0,2440.0
159,1893.0,2197.0
160,1849.0,2021.0
161,1675.0,2011.0
162,1538.0,1747.0
163,1285.0,1450.0
164,980.0,1102.0
165,718.0,728.0
166,503.0,520.0
167,315.0,331.0
